year,region,sector,scenario,variable,value,unit,source
1990,World,Total energy supply,historical,CO2_emissions,22732.145,MtCO2,OWID
1991,World,Total energy supply,historical,CO2_emissions,23205.592,MtCO2,OWID
1992,World,Total energy supply,historical,CO2_emissions,22520.424,MtCO2,OWID
1993,World,Total energy supply,historical,CO2_emissions,22749.873,MtCO2,OWID
1994,World,Total energy supply,historical,CO2_emissions,22974.598,MtCO2,OWID
1995,World,Total energy supply,historical,CO2_emissions,23516.639,MtCO2,OWID
1996,World,Total energy supply,historical,CO2_emissions,24233.477,MtCO2,OWID
1997,World,Total energy supply,historical,CO2_emissions,24380.322,MtCO2,OWID
1998,World,Total energy supply,historical,CO2_emissions,24295.713,MtCO2,OWID
1999,World,Total energy supply,historical,CO2_emissions,24837.771,MtCO2,OWID
2000,World,Total energy supply,historical,CO2_emissions,25511.482,MtCO2,OWID
2001,World,Total energy supply,historical,CO2_emissions,25692.994,MtCO2,OWID
2002,World,Total energy supply,historical,CO2_emissions,26265.332,MtCO2,OWID
2003,World,Total energy supply,historical,CO2_emissions,27652.691,MtCO2,OWID
2004,World,Total energy supply,historical,CO2_emissions,28610.023,MtCO2,OWID
2005,World,Total energy supply,historical,CO2_emissions,29598.951,MtCO2,OWID
2006,World,Total energy supply,historical,CO2_emissions,30594.152,MtCO2,OWID
2007,World,Total energy supply,historical,CO2_emissions,31499.256,MtCO2,OWID
2008,World,Total energy supply,historical,CO2_emissions,32049.66,MtCO2,OWID
2009,World,Total energy supply,historical,CO2_emissions,31513.014,MtCO2,OWID
2010,World,Total energy supply,historical,CO2_emissions,33317.672,MtCO2,OWID
2011,World,Total energy supply,historical,CO2_emissions,34479.988,MtCO2,OWID
2012,World,Total energy supply,historical,CO2_emissions,34954.734,MtCO2,OWID
2013,World,Total energy supply,historical,CO2_emissions,35275.82,MtCO2,OWID
2014,World,Total energy supply,historical,CO2_emissions,35465.695,MtCO2,OWID
