year,emissions_mtco2,sector,emissions_smoothed
1880,0.172,Cement,0.21666666666666667
1881,0.208,Cement,0.2495
1882,0.27,Cement,0.2662
1883,0.348,Cement,0.3008
1884,0.333,Cement,0.334
1885,0.345,Cement,0.3912
1886,0.374,Cement,0.4298
1887,0.556,Cement,0.4796
1888,0.541,Cement,0.5436
1889,0.582,Cement,0.6056000000000001
1890,0.665,Cement,0.64
1891,0.684,Cement,0.6648
1892,0.728,Cement,0.6874
1893,0.665,Cement,0.6996
1894,0.695,Cement,0.721
1895,0.726,Cement,0.7582000000000001
1896,0.791,Cement,0.8266
1897,0.914,Cement,0.9456
1898,1.007,Cement,1.0794000000000001
1899,1.29,Cement,1.2544
1900,1.395,Cement,1.5032
1901,1.666,Cement,1.8114000000000001
1902,2.158,Cement,2.1032
1903,2.548,Cement,2.5266
1904,2.749,Cement,3.0928
1905,3.512,Cement,3.5872
1906,4.497,Cement,4.0424
1907,4.63,Cement,4.704600000000001
1908,4.824,Cement,5.4188
1909,6.06,Cement,5.971
1910,7.083,Cement,6.5708
1911,7.258,Cement,7.3092
1912,7.629,Cement,7.7193999999999985
1913,8.516,Cement,7.885800000000001
1914,8.111,Cement,8.122399999999999
1915,7.915,Cement,8.2984
1916,8.441,Cement,7.899000000000001
1917,8.509,Cement,7.756600000000001
1918,6.519,Cement,7.9876000000000005
1919,7.399,Cement,8.087399999999999
1920,9.07,Cement,8.4752
1921,8.94,Cement,9.6728
1922,10.448,Cement,10.9094
1923,12.507,Cement,11.9812
1924,13.582,Cement,13.141200000000001
1925,14.429,Cement,14.141200000000001
1926,14.74,Cement,18.7564
1927,15.448,Cement,23.4146
1928,35.583,Cement,27.641
1929,36.873,Cement,30.871799999999997
1930,35.561,Cement,32.721000000000004
1931,30.894,Cement,30.3722
1932,24.694,Cement,28.700399999999995
1933,23.839,Cement,27.9998
1934,28.514,Cement,29.568199999999997
1935,32.058,Cement,32.7902
1936,38.736,Cement,35.726600000000005
1937,40.804,Cement,37.1556
1938,38.521,Cement,37.0302
1939,35.659,Cement,37.94160000000001
1940,31.431,Cement,37.456
1941,43.293,Cement,36.7056
1942,38.376,Cement,34.1066
1943,34.769,Cement,32.4176
1944,22.664,Cement,31.0202
1945,22.986,Cement,31.9732
1946,36.306,Cement,35.3464
1947,43.141,Cement,42.45139999999999
1948,51.635,Cement,51.2342
1949,58.189,Cement,59.126200000000004
1950,66.9,Cement,66.6472
1951,75.766,Cement,74.2294
1952,80.746,Cement,82.0184
1953,89.546,Cement,90.1256
1954,97.134,Cement,98.27000000000001
1955,107.436,Cement,106.61120000000001
1956,116.488,Cement,114.64079999999998
1957,122.452,Cement,124.263
1958,129.694,Cement,134.25459999999998
1959,145.245,Cement,143.78580000000002
1960,157.394,Cement,154.5682
1961,164.144,Cement,165.82559999999998
1962,176.364,Cement,178.00660000000002
1963,185.981,Cement,189.81400000000002
1964,206.15,Cement,203.58679999999998
1965,216.431,Cement,216.2902
1966,233.008,Cement,230.1486
1967,239.881,Cement,243.0384
1968,255.273,Cement,257.3984
1969,270.599,Cement,271.4084
1970,288.231,Cement,287.6834
1971,303.058,Cement,304.66099999999994
1972,321.256,Cement,318.6634
1973,340.161,Cement,328.9924
1974,340.611,Cement,339.59139999999996
1975,339.876,Cement,349.88219999999995
1976,356.053,Cement,361.42780000000005
1977,372.71,Cement,374.0462
1978,397.889,Cement,387.30219999999997
1979,403.703,Cement,397.3294
1980,406.156,Cement,403.59680000000003
1981,406.189,Cement,406.674
1982,404.047,Cement,410.15680000000003
1983,413.275,Cement,414.0738
1984,421.117,Cement,421.1928
1985,425.741,Cement,432.0598
1986,441.784,Cement,445.79040000000003
1987,458.382,Cement,459.98159999999996
1988,481.928,Cement,473.33779999999996
1989,492.073,Cement,485.9198
1990,492.522,Cement,499.42780000000005
1991,504.694,Cement,512.9556
1992,525.922,Cement,531.8898
1993,549.567,Cement,557.4262
1994,586.744,Cement,583.1991999999999
1995,620.204,Cement,609.7805999999999
1996,633.559,Cement,631.1864
1997,658.829,Cement,651.447
1998,656.596,Cement,671.0391999999999
1999,688.047,Cement,694.4770000000001
2000,718.165,Cement,718.512
2001,750.748,Cement,758.6798
2002,779.004,Cement,800.2564
2003,857.435,Cement,849.9786
2004,895.93,Cement,909.2878000000001
2005,966.776,Cement,978.7268
2006,1047.294,Cement,1034.7192
2007,1126.199,Cement,1089.6544
2008,1137.397,Cement,1146.6618
2009,1170.606,Cement,1206.1524000000002
2010,1251.813,Cement,1256.3834
2011,1344.747,Cement,1317.1708000000003
2012,1377.354,Cement,1381.5398
2013,1441.334,Cement,1419.3103999999998
2014,1492.451,Cement,1445.5904
2015,1440.666,Cement,1470.109
2016,1476.147,Cement,1491.212
2017,1499.947,Cement,1515.8672000000001
2018,1546.849,Cement,1552.5444
2019,1615.727,Cement,1590.692
2020,1624.052,Cement,1606.4504000000002
2021,1666.885,Cement,1605.1378
2022,1578.739,Cement,1576.556
2023,1540.286,Cement,1564.682
2024,1472.818,Cement,1530.6143333333332
1750,9.306,Coal,9.406
1751,9.407,Coal,9.457
1752,9.505,Coal,9.5124
1753,9.61,Coal,9.6098
1754,9.734,Coal,9.7104
1755,9.793,Coal,9.828199999999999
1756,9.91,Coal,9.949399999999999
1757,10.094,Coal,10.070400000000001
1758,10.216,Coal,10.2146
1759,10.339,Coal,10.3822
1760,10.514,Coal,10.553799999999999
1761,10.748,Coal,10.749
1762,10.952,Coal,10.960600000000001
1763,11.192,Coal,11.1864
1764,11.397,Coal,11.412
1765,11.643,Coal,11.6522
1766,11.876,Coal,11.9072
1767,12.153,Coal,12.1838
1768,12.467,Coal,12.474599999999999
1769,12.78,Coal,12.7732
1770,13.097,Coal,13.067400000000001
1771,13.369,Coal,13.3356
1772,13.624,Coal,13.581999999999999
1773,13.808,Coal,13.830400000000001
1774,14.012,Coal,14.087399999999999
1775,14.339,Coal,14.3546
1776,14.654,Coal,14.6416
1777,14.96,Coal,14.9462
1778,15.243,Coal,15.2542
1779,15.535,Coal,15.5702
1780,15.879,Coal,15.8944
1781,16.234,Coal,16.2584
1782,16.581,Coal,16.6456
1783,17.063,Coal,17.0628
1784,17.471,Coal,17.505399999999998
1785,17.965,Coal,17.961000000000002
1786,18.447,Coal,18.4056
1787,18.859,Coal,18.884
1788,19.286,Coal,19.370600000000003
1789,19.863,Coal,19.867600000000003
1790,20.398,Coal,20.481599999999997
1791,20.932,Coal,21.0838
1792,21.929,Coal,21.615199999999998
1793,22.297,Coal,21.9986
1794,22.52,Coal,22.236399999999996
1795,22.315,Coal,22.2686
1796,22.121,Coal,22.4304
1797,22.09,Coal,23.4234
