year,sector,delta_mtco2,delta_total,contribution_share
1750,Coal,,,
1750,Other industry,,,
1751,Coal,0.10100000000000087,0.10100000000000087,1.0
1751,Other industry,0.0,0.10100000000000087,0.0
1752,Coal,0.09800000000000075,0.09800000000000075,1.0
1752,Other industry,0.0,0.09800000000000075,0.0
1753,Coal,0.10499999999999865,0.10499999999999865,1.0
1753,Other industry,0.0,0.10499999999999865,0.0
1754,Coal,0.12400000000000055,0.12400000000000055,1.0
1754,Other industry,0.0,0.12400000000000055,0.0
1755,Coal,0.058999999999999275,0.058999999999999275,1.0
1755,Other industry,0.0,0.058999999999999275,0.0
1756,Coal,0.11700000000000088,0.11700000000000088,1.0
1756,Other industry,0.0,0.11700000000000088,0.0
1757,Coal,0.18399999999999928,0.18399999999999928,1.0
1757,Other industry,0.0,0.18399999999999928,0.0
1758,Coal,0.12199999999999989,0.12199999999999989,1.0
1758,Other industry,0.0,0.12199999999999989,0.0
1759,Coal,0.12300000000000111,0.12300000000000111,1.0
1759,Other industry,0.0,0.12300000000000111,0.0
1760,Coal,0.17499999999999893,0.17499999999999893,1.0
1760,Other industry,0.0,0.17499999999999893,0.0
1761,Coal,0.23399999999999999,0.23399999999999999,1.0
1761,Other industry,0.0,0.23399999999999999,0.0
1762,Coal,0.20400000000000063,0.20400000000000063,1.0
1762,Other industry,0.0,0.20400000000000063,0.0
1763,Coal,0.2400000000000002,0.2400000000000002,1.0
1763,Other industry,0.0,0.2400000000000002,0.0
1764,Coal,0.20500000000000007,0.20500000000000007,1.0
1764,Other industry,0.0,0.20500000000000007,0.0
1765,Coal,0.24600000000000044,0.24600000000000044,1.0
1765,Other industry,0.0,0.24600000000000044,0.0
1766,Coal,0.23299999999999876,0.23299999999999876,1.0
1766,Other industry,0.0,0.23299999999999876,0.0
1767,Coal,0.277000000000001,0.277000000000001,1.0
1767,Other industry,0.0,0.277000000000001,0.0
1768,Coal,0.31400000000000006,0.31400000000000006,1.0
1768,Other industry,0.0,0.31400000000000006,0.0
1769,Coal,0.31299999999999883,0.31299999999999883,1.0
1769,Other industry,0.0,0.31299999999999883,0.0
1770,Coal,0.31700000000000017,0.31700000000000017,1.0
1770,Other industry,0.0,0.31700000000000017,0.0
1771,Coal,0.27200000000000024,0.27200000000000024,1.0
1771,Other industry,0.0,0.27200000000000024,0.0
1772,Coal,0.2550000000000008,0.2550000000000008,1.0
1772,Other industry,0.0,0.2550000000000008,0.0
1773,Coal,0.18399999999999928,0.18399999999999928,1.0
1773,Other industry,0.0,0.18399999999999928,0.0
1774,Coal,0.20400000000000063,0.20400000000000063,1.0
1774,Other industry,0.0,0.20400000000000063,0.0
1775,Coal,0.32699999999999996,0.32699999999999996,1.0
1775,Other industry,0.0,0.32699999999999996,0.0
1776,Coal,0.3149999999999995,0.3149999999999995,1.0
1776,Other industry,0.0,0.3149999999999995,0.0
1777,Coal,0.30600000000000094,0.30600000000000094,1.0
1777,Other industry,0.0,0.30600000000000094,0.0
1778,Coal,0.2829999999999995,0.2829999999999995,1.0
1778,Other industry,0.0,0.2829999999999995,0.0
1779,Coal,0.2919999999999998,0.2919999999999998,1.0
1779,Other industry,0.0,0.2919999999999998,0.0
1780,Coal,0.3439999999999994,0.3439999999999994,1.0
1780,Other industry,0.0,0.3439999999999994,0.0
1781,Coal,0.3550000000000022,0.3550000000000022,1.0
1781,Other industry,0.0,0.3550000000000022,0.0
1782,Coal,0.34699999999999775,0.34699999999999775,1.0
1782,Other industry,0.0,0.34699999999999775,0.0
