year,emissions_mtco2,sector
1750,9.306,Coal
1750,0.0,Other industry
1751,9.407,Coal
1751,0.0,Other industry
1752,9.505,Coal
1752,0.0,Other industry
1753,9.61,Coal
1753,0.0,Other industry
1754,9.734,Coal
1754,0.0,Other industry
1755,9.793,Coal
1755,0.0,Other industry
1756,9.91,Coal
1756,0.0,Other industry
1757,10.094,Coal
1757,0.0,Other industry
1758,10.216,Coal
1758,0.0,Other industry
1759,10.339,Coal
1759,0.0,Other industry
1760,10.514,Coal
1760,0.0,Other industry
1761,10.748,Coal
1761,0.0,Other industry
1762,10.952,Coal
1762,0.0,Other industry
1763,11.192,Coal
1763,0.0,Other industry
1764,11.397,Coal
1764,0.0,Other industry
1765,11.643,Coal
1765,0.0,Other industry
1766,11.876,Coal
1766,0.0,Other industry
1767,12.153,Coal
1767,0.0,Other industry
1768,12.467,Coal
1768,0.0,Other industry
1769,12.78,Coal
1769,0.0,Other industry
1770,13.097,Coal
1770,0.0,Other industry
1771,13.369,Coal
1771,0.0,Other industry
1772,13.624,Coal
1772,0.0,Other industry
1773,13.808,Coal
1773,0.0,Other industry
1774,14.012,Coal
1774,0.0,Other industry
1775,14.339,Coal
1775,0.0,Other industry
1776,14.654,Coal
1776,0.0,Other industry
1777,14.96,Coal
1777,0.0,Other industry
1778,15.243,Coal
1778,0.0,Other industry
1779,15.535,Coal
1779,0.0,Other industry
1780,15.879,Coal
1780,0.0,Other industry
1781,16.234,Coal
1781,0.0,Other industry
1782,16.581,Coal
1782,0.0,Other industry
1783,17.063,Coal
1783,0.0,Other industry
1784,17.471,Coal
1784,0.0,Other industry
1785,17.965,Coal
1785,0.0,Other industry
1786,18.447,Coal
1786,0.0,Other industry
1787,18.859,Coal
1787,0.0,Other industry
1788,19.286,Coal
1788,0.0,Other industry
1789,19.863,Coal
1789,0.0,Other industry
1790,20.398,Coal
1790,0.0,Other industry
1791,20.932,Coal
1791,0.0,Other industry
1792,21.929,Coal
1792,0.0,Other industry
1793,22.297,Coal
1793,0.0,Other industry
1794,22.52,Coal
1794,0.0,Other industry
1795,22.315,Coal
1795,0.0,Other industry
1796,22.121,Coal
1796,0.0,Other industry
1797,22.09,Coal
1797,0.0,Other industry
1798,23.106,Coal
1798,0.0,Other industry
1799,27.485,Coal
1799,0.0,Other industry
1800,32.798,Coal
1800,0.0,Other industry
1801,31.986,Coal
1801,0.0,Other industry
1802,40.31,Coal
1802,0.0,Other industry
1803,29.539,Coal
1803,0.0,Other industry
1804,31.769,Coal
1804,0.0,Other industry
1805,31.252,Coal
1805,0.0,Other industry
1806,32.705,Coal
1806,0.0,Other industry
1807,36.201,Coal
1807,0.0,Other industry
1808,35.498,Coal
1808,0.0,Other industry
1809,36.334,Coal
1809,0.0,Other industry
1810,39.492,Coal
1810,0.0,Other industry
1811,40.177,Coal
1811,0.0,Other industry
1812,40.815,Coal
1812,0.0,Other industry
1813,41.206,Coal
1813,0.0,Other industry
1814,42.227,Coal
1814,0.0,Other industry
1815,43.587,Coal
1815,0.0,Other industry
1816,45.497,Coal
1816,0.0,Other industry
1817,49.276,Coal
1817,0.0,Other industry
1818,51.392,Coal
1818,0.0,Other industry
1819,50.93,Coal
1819,0.0,Other industry
1820,50.733,Coal
1820,0.0,Other industry
1821,52.059,Coal
1821,0.0,Other industry
1822,54.022,Coal
1822,0.0,Other industry
1823,56.358,Coal
1823,0.0,Other industry
1824,57.584,Coal
1824,0.0,Other industry
1825,60.731,Coal
1825,0.0,Other industry
1826,61.382,Coal
1826,0.0,Other industry
1827,65.739,Coal
1827,0.0,Other industry
1828,66.682,Coal
1828,0.0,Other industry
1829,66.307,Coal
1829,0.0,Other industry
1830,88.988,Coal
1830,0.0,Other industry
1831,83.251,Coal
1831,0.0,Other industry
1832,82.092,Coal
1832,0.0,Other industry
1833,83.249,Coal
1833,0.0,Other industry
1834,88.763,Coal
1834,0.0,Other industry
1835,97.4,Coal
1835,0.0,Other industry
1836,106.894,Coal
1836,0.0,Other industry
1837,106.199,Coal
1837,0.0,Other industry
1838,105.845,Coal
1838,0.0,Other industry
1839,109.653,Coal
1839,0.0,Other industry
1840,118.809,Coal
1840,0.0,Other industry
1841,122.166,Coal
1841,0.0,Other industry
1842,129.389,Coal
1842,0.0,Other industry
1843,132.369,Coal
1843,0.0,Other industry
1844,141.966,Coal
1844,0.0,Other industry
1845,155.073,Coal
1845,0.0,Other industry
1846,157.702,Coal
1846,0.0,Other industry
1847,170.797,Coal
1847,0.0,Other industry
1848,173.643,Coal
1848,0.0,Other industry
1849,185.048,Coal
1849,0.0,Other industry
1850,196.848,Coal
1850,0.0,Other industry
1851,198.779,Coal
1851,0.0,Other industry
1852,207.595,Coal
1852,0.0,Other industry
1853,217.237,Coal
1853,0.0,Other industry
1854,255.039,Coal
1854,0.0,Other industry
1855,260.223,Coal
1855,0.037,Oil
1855,0.0,Other industry
1856,278.205,Coal
1856,0.04,Oil
1856,0.0,Other industry
1857,281.13,Coal
1857,0.051,Oil
1857,0.0,Other industry
1858,285.486,Coal
1858,0.062,Oil
1858,0.0,Other industry
1859,302.517,Coal
1859,0.055,Oil
1859,0.0,Other industry
1860,332.025,Coal
1860,0.273,Oil
1860,0.0,Other industry
1861,348.249,Coal
1861,0.941,Oil
1861,0.0,Other industry
1862,354.592,Coal
1862,1.399,Oil
1862,0.0,Other industry
1863,378.242,Coal
1863,1.293,Oil
1863,0.0,Other industry
1864,408.416,Coal
1864,1.11,Oil
1864,0.0,Other industry
1865,433.532,Coal
1865,1.32,Oil
1865,0.0,Other industry
1866,447.115,Coal
1866,1.952,Oil
1866,0.0,Other industry
1867,478.829,Coal
1867,1.985,Oil
1867,0.0,Other industry
1868,492.205,Coal
1868,2.288,Oil
1868,0.0,Other industry
1869,522.117,Coal
1869,2.614,Oil
1869,0.0,Other industry
1870,532.99,Coal
1870,3.133,Oil
1870,0.0,Other industry
1871,566.495,Coal
1871,3.282,Oil
1871,0.0,Other industry
1872,627.264,Coal
1872,3.698,Oil
1872,0.0,Other industry
1873,664.798,Coal
1873,5.669,Oil
1873,0.0,Other industry
1874,622.42,Coal
1874,6.242,Oil
1874,0.0,Other industry
1875,675.214,Coal
1875,5.834,Oil
1875,0.0,Other industry
1876,684.048,Coal
1876,6.534,Oil
1876,0.0,Other industry
1877,695.211,Coal
1877,8.822,Oil
1877,0.0,Other industry
1878,699.612,Coal
1878,10.038,Oil
1878,0.0,Other industry
1879,747.138,Coal
1879,12.657,Oil
1879,0.0,Other industry
1880,0.172,Cement
1880,842.695,Coal
1880,15.36,Oil
1880,0.0,Other industry
1881,0.208,Cement
1881,870.726,Coal
1881,17.239,Oil
1881,0.0,Other industry
1882,0.27,Cement
1882,918.787,Coal
1882,0.165,Gas
1882,18.936,Oil
1882,0.0,Other industry
1883,0.348,Cement
1883,980.636,Coal
1883,0.381,Gas
1883,16.498,Oil
1883,0.0,Other industry
1884,0.333,Cement
1884,989.938,Coal
1884,1.172,Gas
1884,18.319,Oil
1884,0.0,Other industry
1885,0.345,Cement
1885,994.473,Coal
1885,3.715,Gas
1885,18.956,Oil
1885,0.0,Other industry
1886,0.374,Cement
1886,1003.117,Coal
1886,7.676,Gas
1886,21.821,Oil
1886,0.0,Other industry
1887,0.556,Cement
1887,1048.46,Coal
1887,11.787,Gas
1887,23.479,Oil
1887,0.0,Other industry
1888,0.541,Cement
1888,1159.449,Coal
1888,16.774,Gas
1888,24.578,Oil
1888,0.0,Other industry
1889,0.582,Cement
1889,1160.885,Coal
1889,12.227,Gas
1889,28.404,Oil
1889,0.0,Other industry
1890,0.665,Cement
1890,1260.254,Coal
1890,11.688,Gas
1890,34.648,Oil
1890,0.0,Other industry
1891,0.684,Cement
1891,1319.138,Coal
1891,8.947,Gas
1891,40.829,Oil
1891,0.0,Other industry
1892,0.728,Cement
1892,1331.829,Coal
1892,7.775,Gas
1892,40.204,Oil
1892,0.0,Other industry
1893,0.665,Cement
1893,1312.683,Coal
1893,7.288,Gas
1893,42.544,Oil
1893,0.0,Other industry
1894,0.695,Cement
1894,1363.137,Coal
1894,6.698,Gas
1894,41.697,Oil
1894,0.0,Other industry
1895,0.726,Cement
1895,1439.659,Coal
1895,7.042,Gas
1895,48.536,Oil
1895,0.0,Other industry
1896,0.791,Cement
1896,1485.244,Coal
1896,6.848,Gas
1896,52.568,Oil
1896,0.0,Other industry
1897,0.914,Cement
1897,1554.677,Coal
1897,7.288,Gas
1897,55.527,Oil
1897,0.0,Other industry
1898,1.007,Cement
1898,1640.331,Coal
1898,8.46,Gas
1898,57.169,Oil
1898,0.0,Other industry
1899,1.29,Cement
1899,1792.204,Coal
1899,10.904,Gas
1899,60.026,Oil
1899,0.0,Other industry
1900,1.395,Cement
1900,1882.645,Coal
1900,11.542,Gas
1900,67.303,Oil
1900,0.0,Other industry
1901,1.666,Cement
1901,1936.356,Coal
1901,12.861,Gas
1901,74.746,Oil
1901,0.0,Other industry
1902,2.158,Cement
1902,1980.299,Coal
1902,13.696,Gas
1902,80.803,Oil
1902,0.0,Other industry
1903,2.548,Cement
1903,2161.955,Coal
1903,14.528,Gas
1903,85.56,Oil
1903,0.0,Other industry
1904,2.749,Cement
1904,2174.434,Coal
1904,15.165,Gas
1904,96.073,Oil
1904,1.834,Other industry
1905,3.512,Cement
1905,2320.898,Coal
1905,17.17,Gas
1905,97.01,Oil
1905,1.98,Other industry
1906,4.497,Cement
1906,2425.449,Coal
1906,19.027,Gas
1906,97.878,Oil
1906,2.127,Other industry
1907,4.63,Cement
1907,2758.979,Coal
1907,19.877,Gas
1907,119.41,Oil
1907,2.054,Other industry
1908,4.824,Cement
1908,2635.282,Coal
1908,19.676,Gas
1908,128.779,Oil
1908,1.834,Other industry
1909,6.06,Cement
1909,2740.823,Coal
1909,23.523,Gas
1909,134.358,Oil
1909,2.347,Other industry
1910,7.083,Cement
1910,2871.834,Coal
1910,24.915,Gas
1910,144.094,Oil
1910,2.347,Other industry
1911,7.258,Cement
1911,2909.144,Coal
1911,25.718,Gas
1911,152.815,Oil
1911,2.274,Other industry
1912,7.629,Cement
1912,3058.476,Coal
1912,28.315,Gas
1912,157.161,Oil
1912,2.347,Other industry
1913,8.516,Cement
1913,3302.354,Coal
1913,29.598,Gas
1913,181.957,Oil
1913,2.421,Other industry
1914,8.111,Cement
1914,2971.226,Coal
1914,30.136,Gas
1914,186.003,Oil
1914,2.274,Other industry
1915,7.915,Cement
1915,2908.266,Coal
1915,31.866,Gas
1915,197.563,Oil
1915,2.421,Other industry
1916,8.441,Cement
1916,3135.505,Coal
1916,38.377,Gas
1916,215.195,Oil
1916,2.714,Other industry
1917,8.509,Cement
1917,3265.622,Coal
1917,40.509,Gas
1917,239.365,Oil
1917,2.494,Other industry
1918,6.519,Cement
1918,3215.897,Coal
1918,36.519,Gas
1918,245.023,Oil
1918,2.127,Other industry
1919,7.399,Cement
1919,2720.155,Coal
1919,37.948,Gas
1919,273.411,Oil
1919,2.201,Other industry
1920,9.07,Cement
1920,3132.616,Coal
1920,41.685,Gas
1920,361.039,Oil
1920,2.347,Other industry
1921,8.94,Cement
1921,2672.104,Coal
1921,34.992,Gas
1921,397.27,Oil
1921,1.687,Other industry
1922,10.448,Cement
1922,2773.434,Coal
1922,40.107,Gas
1922,438.308,Oil
1922,2.421,Other industry
1923,12.507,Cement
1923,3149.715,Coal
1923,52.526,Gas
1923,485.534,Oil
1923,2.714,Other industry
1924,13.582,Cement
1924,3155.952,Coal
1924,59.709,Gas
1924,484.185,Oil
1924,2.714,Other industry
1925,14.429,Cement
1925,3153.677,Coal
1925,63.923,Gas
1925,505.524,Oil
1925,3.081,Other industry
1926,14.74,Cement
1926,3084.044,Coal
1926,69.145,Gas
1926,506.47,Oil
1926,3.007,Other industry
1927,15.448,Cement
1927,3364.399,Coal
1927,76.018,Gas
1927,554.148,Oil
1927,2.934,Other industry
1928,35.583,Cement
1928,3307.581,Coal
1928,82.623,Gas
1928,567.589,Oil
1928,2.934,Other industry
1929,36.873,Cement
1929,3523.884,Coal
1929,102.895,Gas
1929,621.698,Oil
1929,2.861,Other industry
1930,35.561,Cement
1930,3216.251,Coal
1930,104.225,Gas
1930,599.784,Oil
1930,2.274,Other industry
1931,30.894,Cement
1931,2833.196,Coal
1931,92.889,Gas
1931,580.507,Oil
1931,1.834,Other industry
1932,24.694,Cement
1932,2522.37,Coal
1932,88.22,Gas
1932,555.986,Oil
1932,1.32,Other industry
1933,23.839,Cement
1933,2638.807,Coal
1933,90.919,Gas
1933,607.577,Oil
1933,1.54,Other industry
1934,28.514,Cement
1934,2880.47,Coal
1934,101.952,Gas
1934,643.636,Oil
1934,1.614,Other industry
1935,32.058,Cement
1935,2998.369,Coal
1935,111.374,Gas
1935,691.96,Oil
1935,1.98,Other industry
1936,38.736,Cement
1936,3287.721,Coal
1936,125.532,Gas
1936,753.446,Oil
1936,2.494,Other industry
1937,40.804,Cement
1937,3465.992,Coal
1937,140.578,Gas
1937,846.626,Oil
1937,2.714,Other industry
1938,38.521,Cement
1938,3230.586,Coal
1938,135.497,Gas
1938,822.813,Oil
1938,2.201,Other industry
1939,35.659,Cement
1939,3435.781,Coal
1939,141.331,Gas
1939,854.5,Oil
1939,2.861,Other industry
1940,31.431,Cement
1940,3795.503,Coal
1940,153.52,Gas
1940,900.981,Oil
1940,3.227,Other industry
1941,43.293,Cement
1941,3885.963,Coal
1941,153.463,Gas
1941,912.337,Oil
1941,4.034,Other industry
1942,38.376,Cement
1942,3910.556,Coal
1942,166.049,Gas
1942,863.508,Oil
1942,4.034,Other industry
1943,34.769,Cement
1943,3926.686,Coal
1943,182.9,Gas
1943,926.591,Oil
1943,4.328,Other industry
1944,22.664,Cement
1944,3869.107,Coal
1944,197.601,Gas
1944,1068.786,Oil
1944,4.328,Other industry
1945,22.986,Cement
1945,2999.876,Coal
1945,216.7,Gas
1945,1045.789,Oil
1945,3.961,Other industry
1946,36.306,Cement
1946,3236.01,Coal
1946,223.837,Gas
1946,1108.431,Oil
1946,3.961,Other industry
1947,43.141,Cement
1947,3623.154,Coal
1947,247.893,Gas
1947,1246.469,Oil
1947,4.548,Other industry
1948,51.635,Cement
1948,3740.727,Coal
1948,280.127,Gas
1948,1370.552,Oil
1948,4.841,Other industry
1949,58.189,Cement
1949,3547.274,Coal
1949,300.46,Gas
1949,1293.929,Oil
1949,4.181,Other industry
1950,66.9,Cement
1950,3879.955,Coal
1950,73.624,Flaring
1950,353.156,Gas
1950,1551.783,Oil
1950,4.988,Other industry
1951,75.766,Cement
1951,4084.146,Coal
1951,79.875,Flaring
1951,416.186,Gas
1951,1720.176,Oil
1951,5.501,Other industry
1952,80.746,Cement
1952,4030.056,Coal
1952,85.364,Flaring
1952,447.086,Gas
1952,1819.094,Oil
1952,5.355,Other industry
1953,89.546,Cement
1953,4061.101,Coal
1953,81.348,Flaring
1953,474.53,Gas
1953,1938.059,Oil
1953,6.455,Other industry
1954,97.134,Cement
1954,4053.676,Coal
1954,77.615,Flaring
1954,501.356,Gas
1954,2054.232,Oil
1954,5.721,Other industry
1955,107.436,Cement
1955,4386.083,Coal
1955,96.836,Flaring
1955,547.242,Gas
1955,2299.538,Oil
1955,6.968,Other industry
1956,116.488,Cement
1956,4608.297,Coal
1956,108.174,Flaring
1956,587.242,Gas
1956,2499.033,Oil
1956,7.042,Other industry
1957,122.452,Cement
1957,4691.583,Coal
1957,106.383,Flaring
1957,646.687,Gas
1957,2612.05,Oil
1957,6.822,Other industry
1958,129.694,Cement
1958,4761.458,Coal
1958,95.115,Flaring
1958,705.853,Gas
1958,2719.235,Oil
1958,6.161,Other industry
1959,145.245,Cement
1959,4953.932,Coal
1959,91.693,Flaring
1959,758.26,Gas
1959,2897.693,Oil
1959,8.289,Other industry
1960,157.394,Cement
1960,5158.323,Coal
1960,89.14,Flaring
1960,834.618,Gas
1960,3119.97,Oil
1960,27.507,Other industry
1961,164.144,Cement
1961,4944.186,Coal
1961,86.219,Flaring
1961,882.126,Gas
1961,3309.097,Oil
1961,29.219,Other industry
1962,176.364,Cement
1962,4928.587,Coal
1962,85.931,Flaring
1962,967.82,Gas
1962,3558.261,Oil
1962,30.277,Other industry
1963,185.981,Cement
1963,5107.931,Coal
1963,90.506,Flaring
1963,1046.95,Gas
1963,3803.658,Oil
1963,31.751,Other industry
1964,206.15,Cement
1964,5213.215,Coal
1964,112.792,Flaring
1964,1152.992,Gas
1964,4104.341,Oil
1964,34.98,Other industry
1965,216.431,Cement
1965,5289.088,Coal
1965,130.443,Flaring
1965,1230.667,Gas
1965,4409.442,Oil
1965,34.532,Other industry
1966,233.008,Cement
1966,5349.978,Coal
1966,144.566,Flaring
1966,1339.98,Gas
1966,4758.873,Oil
1966,36.221,Other industry
1967,239.881,Cement
1967,5261.868,Coal
1967,190.783,Flaring
1967,1433.099,Gas
1967,5074.54,Oil
1967,37.2,Other industry
1968,255.273,Cement
1968,5319.659,Coal
1968,203.8,Flaring
1968,1559.751,Gas
