year,sector,share_of_total
1750,Coal,1.0
1750,Other industry,0.0
1751,Coal,1.0
1751,Other industry,0.0
1752,Coal,1.0
1752,Other industry,0.0
1753,Coal,1.0
1753,Other industry,0.0
1754,Coal,1.0
1754,Other industry,0.0
1755,Coal,1.0
1755,Other industry,0.0
1756,Coal,1.0
1756,Other industry,0.0
1757,Coal,1.0
1757,Other industry,0.0
1758,Coal,1.0
1758,Other industry,0.0
1759,Coal,1.0
1759,Other industry,0.0
1760,Coal,1.0
1760,Other industry,0.0
1761,Coal,1.0
1761,Other industry,0.0
1762,Coal,1.0
1762,Other industry,0.0
1763,Coal,1.0
1763,Other industry,0.0
1764,Coal,1.0
1764,Other industry,0.0
1765,Coal,1.0
1765,Other industry,0.0
1766,Coal,1.0
1766,Other industry,0.0
1767,Coal,1.0
1767,Other industry,0.0
1768,Coal,1.0
1768,Other industry,0.0
1769,Coal,1.0
1769,Other industry,0.0
1770,Coal,1.0
1770,Other industry,0.0
1771,Coal,1.0
1771,Other industry,0.0
1772,Coal,1.0
1772,Other industry,0.0
1773,Coal,1.0
1773,Other industry,0.0
1774,Coal,1.0
1774,Other industry,0.0
1775,Coal,1.0
1775,Other industry,0.0
1776,Coal,1.0
1776,Other industry,0.0
1777,Coal,1.0
1777,Other industry,0.0
1778,Coal,1.0
1778,Other industry,0.0
1779,Coal,1.0
1779,Other industry,0.0
1780,Coal,1.0
1780,Other industry,0.0
1781,Coal,1.0
1781,Other industry,0.0
1782,Coal,1.0
1782,Other industry,0.0
1783,Coal,1.0
1783,Other industry,0.0
1784,Coal,1.0
1784,Other industry,0.0
1785,Coal,1.0
1785,Other industry,0.0
1786,Coal,1.0
1786,Other industry,0.0
1787,Coal,1.0
1787,Other industry,0.0
1788,Coal,1.0
1788,Other industry,0.0
1789,Coal,1.0
1789,Other industry,0.0
1790,Coal,1.0
1790,Other industry,0.0
1791,Coal,1.0
1791,Other industry,0.0
1792,Coal,1.0
1792,Other industry,0.0
1793,Coal,1.0
1793,Other industry,0.0
1794,Coal,1.0
1794,Other industry,0.0
1795,Coal,1.0
1795,Other industry,0.0
1796,Coal,1.0
1796,Other industry,0.0
1797,Coal,1.0
1797,Other industry,0.0
1798,Coal,1.0
1798,Other industry,0.0
1799,Coal,1.0
1799,Other industry,0.0
1800,Coal,1.0
1800,Other industry,0.0
1801,Coal,1.0
1801,Other industry,0.0
1802,Coal,1.0
1802,Other industry,0.0
1803,Coal,1.0
1803,Other industry,0.0
1804,Coal,1.0
1804,Other industry,0.0
1805,Coal,1.0
1805,Other industry,0.0
1806,Coal,1.0
1806,Other industry,0.0
1807,Coal,1.0
1807,Other industry,0.0
1808,Coal,1.0
1808,Other industry,0.0
1809,Coal,1.0
1809,Other industry,0.0
1810,Coal,1.0
1810,Other industry,0.0
1811,Coal,1.0
1811,Other industry,0.0
1812,Coal,1.0
1812,Other industry,0.0
1813,Coal,1.0
1813,Other industry,0.0
1814,Coal,1.0
1814,Other industry,0.0
1815,Coal,1.0
1815,Other industry,0.0
1816,Coal,1.0
1816,Other industry,0.0
1817,Coal,1.0
1817,Other industry,0.0
1818,Coal,1.0
1818,Other industry,0.0
1819,Coal,1.0
1819,Other industry,0.0
1820,Coal,1.0
1820,Other industry,0.0
1821,Coal,1.0
1821,Other industry,0.0
1822,Coal,1.0
1822,Other industry,0.0
1823,Coal,1.0
1823,Other industry,0.0
1824,Coal,1.0
1824,Other industry,0.0
1825,Coal,1.0
1825,Other industry,0.0
1826,Coal,1.0
1826,Other industry,0.0
1827,Coal,1.0
1827,Other industry,0.0
1828,Coal,1.0
1828,Other industry,0.0
1829,Coal,1.0
