year,emissions_mtco2,sector,yoy_change_mtco2,yoy_change_pct
1750,9.306,Coal,,
1750,0.0,Other industry,,
1751,9.407,Coal,0.10100000000000087,0.01085321298087265
1751,0.0,Other industry,0.0,
1752,9.505,Coal,0.09800000000000075,0.010417773998086612
1752,0.0,Other industry,0.0,
1753,9.61,Coal,0.10499999999999865,0.01104681746449223
1753,0.0,Other industry,0.0,
1754,9.734,Coal,0.12400000000000055,0.012903225806451672
1754,0.0,Other industry,0.0,
1755,9.793,Coal,0.058999999999999275,0.0060612286829668455
1755,0.0,Other industry,0.0,
1756,9.91,Coal,0.11700000000000088,0.011947309302563146
1756,0.0,Other industry,0.0,
1757,10.094,Coal,0.18399999999999928,0.018567103935418695
1757,0.0,Other industry,0.0,
1758,10.216,Coal,0.12199999999999989,0.012086387953239538
1758,0.0,Other industry,0.0,
1759,10.339,Coal,0.12300000000000111,0.012039937353171605
1759,0.0,Other industry,0.0,
1760,10.514,Coal,0.17499999999999893,0.016926201760324878
1760,0.0,Other industry,0.0,
1761,10.748,Coal,0.23399999999999999,0.022256039566292563
1761,0.0,Other industry,0.0,
1762,10.952,Coal,0.20400000000000063,0.018980275400074492
1762,0.0,Other industry,0.0,
1763,11.192,Coal,0.2400000000000002,0.0219138056975895
1763,0.0,Other industry,0.0,
1764,11.397,Coal,0.20500000000000007,0.01831665475339529
1764,0.0,Other industry,0.0,
1765,11.643,Coal,0.24600000000000044,0.021584627533561503
1765,0.0,Other industry,0.0,
1766,11.876,Coal,0.23299999999999876,0.020012024392338637
1766,0.0,Other industry,0.0,
1767,12.153,Coal,0.277000000000001,0.023324351633546736
1767,0.0,Other industry,0.0,
1768,12.467,Coal,0.31400000000000006,0.025837241833292196
1768,0.0,Other industry,0.0,
1769,12.78,Coal,0.31299999999999883,0.02510628058073304
1769,0.0,Other industry,0.0,
1770,13.097,Coal,0.31700000000000017,0.024804381846635384
1770,0.0,Other industry,0.0,
1771,13.369,Coal,0.27200000000000024,0.020768114835458523
1771,0.0,Other industry,0.0,
1772,13.624,Coal,0.2550000000000008,0.019073977111227526
1772,0.0,Other industry,0.0,
1773,13.808,Coal,0.18399999999999928,0.01350557839107452
1773,0.0,Other industry,0.0,
1774,14.012,Coal,0.20400000000000063,0.014774044032445005
1774,0.0,Other industry,0.0,
1775,14.339,Coal,0.32699999999999996,0.02333713959463317
1775,0.0,Other industry,0.0,
1776,14.654,Coal,0.3149999999999995,0.021968059139409964
1776,0.0,Other industry,0.0,
1777,14.96,Coal,0.30600000000000094,0.020881670533642756
1777,0.0,Other industry,0.0,
1778,15.243,Coal,0.2829999999999995,0.018917112299465206
1778,0.0,Other industry,0.0,
1779,15.535,Coal,0.2919999999999998,0.01915633405497604
1779,0.0,Other industry,0.0,
1780,15.879,Coal,0.3439999999999994,0.02214354682973926
1780,0.0,Other industry,0.0,
1781,16.234,Coal,0.3550000000000022,0.0223565715725173
1781,0.0,Other industry,0.0,
1782,16.581,Coal,0.34699999999999775,0.021374892201552156
1782,0.0,Other industry,0.0,
1783,17.063,Coal,0.4819999999999993,0.02906941680236411
1783,0.0,Other industry,0.0,
1784,17.471,Coal,0.40800000000000125,0.023911387212096423
1784,0.0,Other industry,0.0,
1785,17.965,Coal,0.4939999999999998,0.028275427851868797
1785,0.0,Other industry,0.0,
1786,18.447,Coal,0.4819999999999993,0.026829947119398793
1786,0.0,Other industry,0.0,
1787,18.859,Coal,0.4120000000000026,0.02233425489239457
1787,0.0,Other industry,0.0,
1788,19.286,Coal,0.4269999999999996,0.02264170952860701
1788,0.0,Other industry,0.0,
1789,19.863,Coal,0.5769999999999982,0.02991807528777342
1789,0.0,Other industry,0.0,
1790,20.398,Coal,0.5350000000000001,0.02693450133413886
1790,0.0,Other industry,0.0,
1791,20.932,Coal,0.5339999999999989,0.026179037160505878
1791,0.0,Other industry,0.0,
1792,21.929,Coal,0.9969999999999999,0.047630422319892986
1792,0.0,Other industry,0.0,
1793,22.297,Coal,0.3680000000000021,0.016781430981805012
1793,0.0,Other industry,0.0,
1794,22.52,Coal,0.22299999999999898,0.01000134547248504
1794,0.0,Other industry,0.0,
1795,22.315,Coal,-0.2049999999999983,-0.009103019538188201
1795,0.0,Other industry,0.0,
1796,22.121,Coal,-0.19400000000000261,-0.008693703786690684
1796,0.0,Other industry,0.0,
1797,22.09,Coal,-0.030999999999998806,-0.0014013833009357086
1797,0.0,Other industry,0.0,
1798,23.106,Coal,1.0160000000000018,0.045993662290629324
1798,0.0,Other industry,0.0,
1799,27.485,Coal,4.378999999999998,0.18951787414524354
1799,0.0,Other industry,0.0,
1800,32.798,Coal,5.313000000000002,0.19330543933054403
1800,0.0,Other industry,0.0,
1801,31.986,Coal,-0.8120000000000012,-0.024757607171169007
1801,0.0,Other industry,0.0,
1802,40.31,Coal,8.324000000000002,0.26023885449884326
1802,0.0,Other industry,0.0,
1803,29.539,Coal,-10.771,-0.2672041677003225
1803,0.0,Other industry,0.0,
1804,31.769,Coal,2.229999999999997,0.07549341548461345
1804,0.0,Other industry,0.0,
1805,31.252,Coal,-0.5169999999999995,-0.016273725959268452
1805,0.0,Other industry,0.0,
1806,32.705,Coal,1.4529999999999994,0.04649302444643541
1806,0.0,Other industry,0.0,
1807,36.201,Coal,3.496000000000002,0.10689497018804471
1807,0.0,Other industry,0.0,
1808,35.498,Coal,-0.703000000000003,-0.01941935305654548
1808,0.0,Other industry,0.0,
1809,36.334,Coal,0.8360000000000056,0.02355062257028581
1809,0.0,Other industry,0.0,
1810,39.492,Coal,3.157999999999994,0.08691583640667126
1810,0.0,Other industry,0.0,
1811,40.177,Coal,0.6850000000000023,0.01734528512103723
1811,0.0,Other industry,0.0,
1812,40.815,Coal,0.6379999999999981,0.01587973218508097
1812,0.0,Other industry,0.0,
1813,41.206,Coal,0.39100000000000534,0.009579811343868807
1813,0.0,Other industry,0.0,
1814,42.227,Coal,1.0209999999999937,0.024777944959471766
1814,0.0,Other industry,0.0,
1815,43.587,Coal,1.3600000000000065,0.03220688185284312
1815,0.0,Other industry,0.0,
1816,45.497,Coal,1.9099999999999966,0.04382040516667805
1816,0.0,Other industry,0.0,
1817,49.276,Coal,3.7790000000000035,0.08306042156625719
1817,0.0,Other industry,0.0,
1818,51.392,Coal,2.1159999999999997,0.04294179722380062
1818,0.0,Other industry,0.0,
1819,50.93,Coal,-0.4620000000000033,-0.008989726027397324
1819,0.0,Other industry,0.0,
1820,50.733,Coal,-0.19700000000000273,-0.003868054192028328
1820,0.0,Other industry,0.0,
1821,52.059,Coal,1.3260000000000005,0.026136834013364096
1821,0.0,Other industry,0.0,
1822,54.022,Coal,1.963000000000001,0.03770721681169444
1822,0.0,Other industry,0.0,
1823,56.358,Coal,2.3359999999999985,0.04324164229388024
1823,0.0,Other industry,0.0,
1824,57.584,Coal,1.2260000000000062,0.021753788282054123
1824,0.0,Other industry,0.0,
1825,60.731,Coal,3.1469999999999985,0.05465059738816335
1825,0.0,Other industry,0.0,
1826,61.382,Coal,0.6509999999999962,0.010719401952874089
1826,0.0,Other industry,0.0,
1827,65.739,Coal,4.357000000000006,0.07098172102570798
1827,0.0,Other industry,0.0,
1828,66.682,Coal,0.9429999999999978,0.014344605181094903
1828,0.0,Other industry,0.0,
1829,66.307,Coal,-0.375,-0.005623706547494076
1829,0.0,Other industry,0.0,
1830,88.988,Coal,22.680999999999997,0.3420604159440179
1830,0.0,Other industry,0.0,
1831,83.251,Coal,-5.736999999999995,-0.0644693666561783
1831,0.0,Other industry,0.0,
1832,82.092,Coal,-1.159000000000006,-0.013921754693637385
1832,0.0,Other industry,0.0,
1833,83.249,Coal,1.1569999999999965,0.014093943380597336
1833,0.0,Other industry,0.0,
1834,88.763,Coal,5.51400000000001,0.06623502985020853
1834,0.0,Other industry,0.0,
1835,97.4,Coal,8.637,0.0973040568705429
1835,0.0,Other industry,0.0,
1836,106.894,Coal,9.494,0.09747433264887063
1836,0.0,Other industry,0.0,
1837,106.199,Coal,-0.6950000000000074,-0.006501768106722617
1837,0.0,Other industry,0.0,
1838,105.845,Coal,-0.3539999999999992,-0.003333364720948401
1838,0.0,Other industry,0.0,
1839,109.653,Coal,3.808000000000007,0.035977136378666986
1839,0.0,Other industry,0.0,
1840,118.809,Coal,9.155999999999992,0.08349976744822295
1840,0.0,Other industry,0.0,
1841,122.166,Coal,3.3569999999999993,0.028255435194303458
1841,0.0,Other industry,0.0,
1842,129.389,Coal,7.223000000000013,0.05912446998346523
1842,0.0,Other industry,0.0,
1843,132.369,Coal,2.9799999999999898,0.023031324146565703
1843,0.0,Other industry,0.0,
1844,141.966,Coal,9.597000000000008,0.07250186977313426
1844,0.0,Other industry,0.0,
1845,155.073,Coal,13.107,0.09232492286885591
1845,0.0,Other industry,0.0,
1846,157.702,Coal,2.6289999999999907,0.01695330586240023
1846,0.0,Other industry,0.0,
1847,170.797,Coal,13.094999999999999,0.08303635971642719
1847,0.0,Other industry,0.0,
1848,173.643,Coal,2.8460000000000036,0.016663056142672317
1848,0.0,Other industry,0.0,
1849,185.048,Coal,11.405000000000001,0.06568073576245516
1849,0.0,Other industry,0.0,
1850,196.848,Coal,11.800000000000011,0.06376723877048124
1850,0.0,Other industry,0.0,
1851,198.779,Coal,1.9309999999999832,0.009809599284727216
1851,0.0,Other industry,0.0,
1852,207.595,Coal,8.816000000000003,0.04435076139833686
1852,0.0,Other industry,0.0,
1853,217.237,Coal,9.641999999999996,0.04644620535176664
1853,0.0,Other industry,0.0,
1854,255.039,Coal,37.80199999999999,0.17401271422455655
1854,0.0,Other industry,0.0,
1855,260.223,Coal,5.184000000000026,0.02032630303600636
1855,0.037,Oil,,
1855,0.0,Other industry,0.0,
1856,278.205,Coal,17.98199999999997,0.06910226997613574
1856,0.04,Oil,0.0030000000000000027,0.08108108108108115
1856,0.0,Other industry,0.0,
1857,281.13,Coal,2.9250000000000114,0.010513829729875492
1857,0.051,Oil,0.010999999999999996,0.2749999999999999
1857,0.0,Other industry,0.0,
1858,285.486,Coal,4.3559999999999945,0.015494611034041171
1858,0.062,Oil,0.011000000000000003,0.215686274509804
1858,0.0,Other industry,0.0,
1859,302.517,Coal,17.031000000000006,0.05965616527605559
1859,0.055,Oil,-0.006999999999999999,-0.1129032258064516
1859,0.0,Other industry,0.0,
1860,332.025,Coal,29.50799999999998,0.09754162575987459
1860,0.273,Oil,0.21800000000000003,3.9636363636363643
1860,0.0,Other industry,0.0,
1861,348.249,Coal,16.224000000000046,0.04886379037723077
1861,0.941,Oil,0.6679999999999999,2.4468864468864466
1861,0.0,Other industry,0.0,
1862,354.592,Coal,6.342999999999961,0.018213979078188194
1862,1.399,Oil,0.4580000000000001,0.4867162592986186
1862,0.0,Other industry,0.0,
1863,378.242,Coal,23.650000000000034,0.06669637216857695
1863,1.293,Oil,-0.1060000000000001,-0.07576840600428884
1863,0.0,Other industry,0.0,
1864,408.416,Coal,30.173999999999978,0.07977432437434229
1864,1.11,Oil,-0.18299999999999983,-0.14153132250580033
1864,0.0,Other industry,0.0,
1865,433.532,Coal,25.115999999999985,0.06149612160150431
1865,1.32,Oil,0.20999999999999996,0.18918918918918914
1865,0.0,Other industry,0.0,
1866,447.115,Coal,13.583000000000027,0.0313310205475029
1866,1.952,Oil,0.6319999999999999,0.4787878787878787
1866,0.0,Other industry,0.0,
1867,478.829,Coal,31.714,0.07093029757444952
1867,1.985,Oil,0.03300000000000014,0.016905737704918104
1867,0.0,Other industry,0.0,
1868,492.205,Coal,13.375999999999976,0.02793481597814664
1868,2.288,Oil,0.3029999999999997,0.15264483627204015
1868,0.0,Other industry,0.0,
1869,522.117,Coal,29.911999999999978,0.06077142653975473
1869,2.614,Oil,0.32600000000000007,0.14248251748251753
1869,0.0,Other industry,0.0,
1870,532.99,Coal,10.873000000000047,0.02082483428043915
1870,3.133,Oil,0.5190000000000001,0.1985462892119358
1870,0.0,Other industry,0.0,
1871,566.495,Coal,33.504999999999995,0.06286234263307003
1871,3.282,Oil,0.14900000000000002,0.04755825087775296
1871,0.0,Other industry,0.0,
1872,627.264,Coal,60.769000000000005,0.10727190884297302
1872,3.698,Oil,0.4159999999999999,0.12675198049969527
1872,0.0,Other industry,0.0,
1873,664.798,Coal,37.53399999999999,0.059837644117947134
1873,5.669,Oil,1.9709999999999996,0.532990805840995
1873,0.0,Other industry,0.0,
1874,622.42,Coal,-42.37800000000004,-0.06374567913862564
1874,6.242,Oil,0.5730000000000004,0.10107602751808087
1874,0.0,Other industry,0.0,
1875,675.214,Coal,52.794000000000096,0.08482053918575898
1875,5.834,Oil,-0.40800000000000036,-0.0653636654918296
1875,0.0,Other industry,0.0,
1876,684.048,Coal,8.833999999999946,0.013083259529571284
1876,6.534,Oil,0.7000000000000002,0.11998628728145358
1876,0.0,Other industry,0.0,
1877,695.211,Coal,11.163000000000011,0.0163190302434917
1877,8.822,Oil,2.2879999999999994,0.3501683501683501
1877,0.0,Other industry,0.0,
1878,699.612,Coal,4.400999999999954,0.0063304521936504935
1878,10.038,Oil,1.216000000000001,0.13783722511902077
1878,0.0,Other industry,0.0,
1879,747.138,Coal,47.52600000000007,0.06793193941784885
1879,12.657,Oil,2.6189999999999998,0.26090854751942616
1879,0.0,Other industry,0.0,
1880,0.172,Cement,,
1880,842.695,Coal,95.55700000000002,0.12789738977270598
1880,15.36,Oil,2.7029999999999994,0.2135577150983645
1880,0.0,Other industry,0.0,
1881,0.208,Cement,0.036000000000000004,0.2093023255813954
1881,870.726,Coal,28.03099999999995,0.033263517642800715
1881,17.239,Oil,1.8790000000000013,0.12233072916666676
1881,0.0,Other industry,0.0,
1882,0.27,Cement,0.06200000000000003,0.29807692307692324
1882,918.787,Coal,48.061000000000035,0.055196468234553736
1882,0.165,Gas,,
1882,18.936,Oil,1.6969999999999992,0.0984395846626834
1882,0.0,Other industry,0.0,
1883,0.348,Cement,0.07799999999999996,0.2888888888888887
1883,980.636,Coal,61.84899999999993,0.06731592850138272
1883,0.381,Gas,0.216,1.309090909090909
1883,16.498,Oil,-2.437999999999999,-0.12874947190536537
1883,0.0,Other industry,0.0,
1884,0.333,Cement,-0.014999999999999958,-0.043103448275861954
1884,989.938,Coal,9.302000000000021,0.009485680721490973
1884,1.172,Gas,0.7909999999999999,2.076115485564304
1884,18.319,Oil,1.820999999999998,0.11037701539580543
1884,0.0,Other industry,0.0,
1885,0.345,Cement,0.011999999999999955,0.0360360360360359
1885,994.473,Coal,4.534999999999968,0.004581094977665236
1885,3.715,Gas,2.543,2.1697952218430037
1885,18.956,Oil,0.6370000000000005,0.034772640427970986
1885,0.0,Other industry,0.0,
1886,0.374,Cement,0.029000000000000026,0.08405797101449283
1886,1003.117,Coal,8.644000000000005,0.008692040910110185
1886,7.676,Gas,3.9610000000000003,1.0662180349932706
1886,21.821,Oil,2.865000000000002,0.15113948090314422
1886,0.0,Other industry,0.0,
1887,0.556,Cement,0.18200000000000005,0.48663101604278086
1887,1048.46,Coal,45.343000000000075,0.04520210503859478
1887,11.787,Gas,4.111000000000001,0.5355653986451278
1887,23.479,Oil,1.6579999999999977,0.0759818523440721
1887,0.0,Other industry,0.0,
1888,0.541,Cement,-0.015000000000000013,-0.026978417266187073
1888,1159.449,Coal,110.98900000000003,0.1058590694923984
1888,16.774,Gas,4.987,0.42309323831339607
1888,24.578,Oil,1.0990000000000002,0.04680778568082117
1888,0.0,Other industry,0.0,
1889,0.582,Cement,0.040999999999999925,0.07578558225508304
1889,1160.885,Coal,1.4359999999999218,0.0012385193311649945
1889,12.227,Gas,-4.547000000000001,-0.27107428162632646
1889,28.404,Oil,3.8260000000000005,0.155667670274229
1889,0.0,Other industry,0.0,
1890,0.665,Cement,0.08300000000000007,0.14261168384879738
1890,1260.254,Coal,99.36899999999991,0.08559762594916802
1890,11.688,Gas,-0.5389999999999997,-0.044082767645374964
1890,34.648,Oil,6.244000000000003,0.21982819321222374
1890,0.0,Other industry,0.0,
1891,0.684,Cement,0.019000000000000017,0.028571428571428595
1891,1319.138,Coal,58.884000000000015,0.04672391438551278
1891,8.947,Gas,-2.7410000000000014,-0.23451403148528416
1891,40.829,Oil,6.180999999999997,0.17839413530362494
1891,0.0,Other industry,0.0,
1892,0.728,Cement,0.04399999999999993,0.06432748538011684
1892,1331.829,Coal,12.691000000000031,0.009620676532705473
1892,7.775,Gas,-1.1719999999999988,-0.13099362914943544
1892,40.204,Oil,-0.625,-0.01530774694457371
1892,0.0,Other industry,0.0,
1893,0.665,Cement,-0.06299999999999994,-0.08653846153846147
1893,1312.683,Coal,-19.145999999999958,-0.014375719405419133
1893,7.288,Gas,-0.4870000000000001,-0.06263665594855307
1893,42.544,Oil,2.3399999999999963,0.058203163864292015
1893,0.0,Other industry,0.0,
1894,0.695,Cement,0.029999999999999916,0.04511278195488709
1894,1363.137,Coal,50.45399999999995,0.03843578381071436
1894,6.698,Gas,-0.5899999999999999,-0.08095499451152577
1894,41.697,Oil,-0.8469999999999942,-0.01990880030086485
1894,0.0,Other industry,0.0,
