year,scenario,sector,emissions_mtco2,carbon_price_usd_per_tco2,carbon_cost_usd_bn
2035,NZE,Buildings,1437.17,110.0,158.0887
2036,NZE,Buildings,1298.776,116.0,150.658016
2037,NZE,Buildings,1160.382,122.0,141.566604
2038,NZE,Buildings,1021.988,128.0,130.814464
2039,NZE,Buildings,883.594,134.0,118.401596
2040,NZE,Buildings,745.2,140.0,104.328
2041,NZE,Buildings,675.643,146.0,98.643878
2042,NZE,Buildings,606.086,152.0,92.125072
2043,NZE,Buildings,536.529,158.0,84.771582
2044,NZE,Buildings,466.97200000000004,164.0,76.58340800000002
2045,NZE,Buildings,397.415,170.0,67.56055
2046,NZE,Buildings,327.85800000000006,176.0,57.70300800000001
2047,NZE,Buildings,258.30100000000004,182.0,47.010782000000006
2048,NZE,Buildings,188.74400000000003,188.0,35.483872000000005
2049,NZE,Buildings,119.18700000000003,194.0,23.12227800000001
2050,NZE,Buildings,49.63,200.0,9.926
2035,STEPS,Buildings,2492.18,55.0,137.0699
2036,STEPS,Buildings,2460.172,58.0,142.689976
2037,STEPS,Buildings,2428.1639999999998,61.0,148.11800399999996
2038,STEPS,Buildings,2396.156,64.0,153.353984
2039,STEPS,Buildings,2364.1479999999997,67.0,158.39791599999998
2040,STEPS,Buildings,2332.14,70.0,163.2498
2041,STEPS,Buildings,2315.672,73.0,169.044056
2042,STEPS,Buildings,2299.2039999999997,76.0,174.73950399999998
2043,STEPS,Buildings,2282.736,79.0,180.336144
2044,STEPS,Buildings,2266.268,82.0,185.833976
2045,STEPS,Buildings,2249.8,85.0,191.233
2046,STEPS,Buildings,2233.332,88.0,196.533216
2047,STEPS,Buildings,2216.864,91.0,201.734624
2048,STEPS,Buildings,2200.396,94.0,206.837224
2049,STEPS,Buildings,2183.928,97.0,211.841016
2050,STEPS,Buildings,2167.46,100.0,216.746
2035,NZE,Industry,6300.81,110.0,693.0891
2036,NZE,Industry,5806.928,116.0,673.603648
2037,NZE,Industry,5313.046,122.0,648.191612
2038,NZE,Industry,4819.164000000001,128.0,616.8529920000001
2039,NZE,Industry,4325.282,134.0,579.587788
2040,NZE,Industry,3831.4,140.0,536.396
2041,NZE,Industry,3493.4990000000003,146.0,510.0508540000001
2042,NZE,Industry,3155.598,152.0,479.650896
2043,NZE,Industry,2817.697,158.0,445.196126
2044,NZE,Industry,2479.7960000000003,164.0,406.6865440000001
2045,NZE,Industry,2141.895,170.0,364.12215
2046,NZE,Industry,1803.9940000000001,176.0,317.50294400000007
2047,NZE,Industry,1466.093,182.0,266.828926
2048,NZE,Industry,1128.192,188.0,212.100096
2049,NZE,Industry,790.2909999999999,194.0,153.31645399999996
2050,NZE,Industry,452.39,200.0,90.478
2035,STEPS,Industry,9250.42,55.0,508.7731
2036,STEPS,Industry,9248.696,58.0,536.424368
2037,STEPS,Industry,9246.972,61.0,564.065292
2038,STEPS,Industry,9245.248,64.0,591.695872
2039,STEPS,Industry,9243.524,67.0,619.316108
2040,STEPS,Industry,9241.8,70.0,646.926
2041,STEPS,Industry,9206.098,73.0,672.045154
2042,STEPS,Industry,9170.395999999999,76.0,696.9500959999999
2043,STEPS,Industry,9134.694,79.0,721.640826
2044,STEPS,Industry,9098.992,82.0,746.117344
2045,STEPS,Industry,9063.289999999999,85.0,770.37965
2046,STEPS,Industry,9027.588,88.0,794.427744
2047,STEPS,Industry,8991.886,91.0,818.261626
2048,STEPS,Industry,8956.184000000001,94.0,841.8812960000001
2049,STEPS,Industry,8920.482,97.0,865.286754
2050,STEPS,Industry,8884.78,100.0,888.478
2035,NZE,Other energy sector,404.43,110.0,44.4873
2036,NZE,Other energy sector,350.244,116.0,40.628304
2037,NZE,Other energy sector,296.058,122.0,36.119076
2038,NZE,Other energy sector,241.872,128.0,30.959616
2039,NZE,Other energy sector,187.686,134.0,25.149924
2040,NZE,Other energy sector,133.5,140.0,18.69
2041,NZE,Other energy sector,109.487,146.0,15.985102
2042,NZE,Other energy sector,85.474,152.0,12.992048
2043,NZE,Other energy sector,61.461000000000006,158.0,9.710838000000003
2044,NZE,Other energy sector,37.44800000000001,164.0,6.141472000000001
2045,NZE,Other energy sector,13.43500000000001,170.0,2.2839500000000013
2046,NZE,Other energy sector,-10.577999999999989,176.0,-1.861727999999998
2047,NZE,Other energy sector,-34.59099999999999,182.0,-6.295561999999997
2048,NZE,Other energy sector,-58.603999999999985,188.0,-11.017551999999998
2049,NZE,Other energy sector,-82.61699999999999,194.0,-16.027697999999997
2050,NZE,Other energy sector,-106.63,200.0,-21.326
2035,STEPS,Other energy sector,1666.08,55.0,91.6344
2036,STEPS,Other energy sector,1659.3239999999998,58.0,96.24079199999998
2037,STEPS,Other energy sector,1652.568,61.0,100.806648
2038,STEPS,Other energy sector,1645.812,64.0,105.331968
2039,STEPS,Other energy sector,1639.056,67.0,109.816752
2040,STEPS,Other energy sector,1632.3,70.0,114.261
2041,STEPS,Other energy sector,1626.953,73.0,118.767569
2042,STEPS,Other energy sector,1621.606,76.0,123.242056
2043,STEPS,Other energy sector,1616.259,79.0,127.684461
2044,STEPS,Other energy sector,1610.912,82.0,132.094784
2045,STEPS,Other energy sector,1605.5649999999998,85.0,136.47302499999998
2046,STEPS,Other energy sector,1600.2179999999998,88.0,140.81918399999998
2047,STEPS,Other energy sector,1594.8709999999999,91.0,145.13326099999998
2048,STEPS,Other energy sector,1589.524,94.0,149.415256
2049,STEPS,Other energy sector,1584.177,97.0,153.665169
2050,STEPS,Other energy sector,1578.83,100.0,157.883
2035,NZE,Power sector inputs,4172.97,110.0,459.02670000000006
2036,NZE,Power sector inputs,3419.632,116.0,396.677312
2037,NZE,Power sector inputs,2666.294,122.0,325.287868
2038,NZE,Power sector inputs,1912.9560000000001,128.0,244.85836800000004
2039,NZE,Power sector inputs,1159.618,134.0,155.388812
2040,NZE,Power sector inputs,406.28,140.0,56.8792
2041,NZE,Power sector inputs,337.804,146.0,49.319384
2042,NZE,Power sector inputs,269.328,152.0,40.937856
2043,NZE,Power sector inputs,200.85199999999998,158.0,31.734615999999995
2044,NZE,Power sector inputs,132.37599999999998,164.0,21.709663999999997
2045,NZE,Power sector inputs,63.89999999999998,170.0,10.862999999999996
2046,NZE,Power sector inputs,-4.576000000000022,176.0,-0.8053760000000039
2047,NZE,Power sector inputs,-73.05200000000002,182.0,-13.295464000000003
2048,NZE,Power sector inputs,-141.52800000000002,188.0,-26.607264000000004
2049,NZE,Power sector inputs,-210.00400000000002,194.0,-40.74077600000001
2050,NZE,Power sector inputs,-278.48,200.0,-55.696
2035,STEPS,Power sector inputs,12783.02,55.0,703.0661
2036,STEPS,Power sector inputs,12376.524000000001,58.0,717.8383920000001
2037,STEPS,Power sector inputs,11970.028,61.0,730.171708
2038,STEPS,Power sector inputs,11563.532000000001,64.0,740.0660480000001
2039,STEPS,Power sector inputs,11157.036,67.0,747.521412
2040,STEPS,Power sector inputs,10750.54,70.0,752.5378
2041,STEPS,Power sector inputs,10520.351,73.0,767.985623
2042,STEPS,Power sector inputs,10290.162,76.0,782.052312
2043,STEPS,Power sector inputs,10059.973,79.0,794.737867
2044,STEPS,Power sector inputs,9829.784,82.0,806.042288
2045,STEPS,Power sector inputs,9599.595,85.0,815.965575
2046,STEPS,Power sector inputs,9369.406,88.0,824.507728
2047,STEPS,Power sector inputs,9139.217,91.0,831.668747
2048,STEPS,Power sector inputs,8909.028,94.0,837.448632
2049,STEPS,Power sector inputs,8678.839,97.0,841.847383
2050,STEPS,Power sector inputs,8448.65,100.0,844.865
2025,NZE,Total energy supply,34679.362499999996,50.0,1733.9681249999994
2026,NZE,Total energy supply,32972.024249999995,56.0,1846.4333579999998
2027,NZE,Total energy supply,31264.685999999998,62.0,1938.4105319999996
2028,NZE,Total energy supply,29557.347749999997,68.0,2009.8996469999997
2029,NZE,Total energy supply,27850.0095,74.0,2060.900703
2030,NZE,Total energy supply,26142.67125,80.0,2091.4137
2031,NZE,Total energy supply,24435.333,86.0,2101.438638
2032,NZE,Total energy supply,22727.994749999998,92.0,2090.975517
2033,NZE,Total energy supply,21020.656499999997,98.0,2060.0243369999994
2034,NZE,Total energy supply,19313.31825,104.0,2008.585098
2035,NZE,Total energy supply,17605.98,110.0,1936.6578
2036,NZE,Total energy supply,15712.144,116.0,1822.608704
2037,NZE,Total energy supply,13818.307999999999,122.0,1685.833576
2038,NZE,Total energy supply,11924.472,128.0,1526.332416
2039,NZE,Total energy supply,10030.635999999999,134.0,1344.1052239999997
2040,NZE,Total energy supply,8136.8,140.0,1139.152
2041,NZE,Total energy supply,7323.12,146.0,1069.17552
2042,NZE,Total energy supply,6509.4400000000005,152.0,989.4348800000001
2043,NZE,Total energy supply,5695.76,158.0,899.93008
2044,NZE,Total energy supply,4882.08,164.0,800.66112
2045,NZE,Total energy supply,4068.3999999999996,170.0,691.6279999999999
2046,NZE,Total energy supply,3254.72,176.0,572.83072
2047,NZE,Total energy supply,2441.04,182.0,444.26928
2048,NZE,Total energy supply,1627.3599999999997,188.0,305.9436799999999
2049,NZE,Total energy supply,813.6799999999996,194.0,157.85391999999993
2050,NZE,Total energy supply,0.0,200.0,0.0
2025,STEPS,Total energy supply,37618.972499999996,25.0,940.4743125
2026,STEPS,Total energy supply,37381.439249999996,28.0,1046.6802989999996
2027,STEPS,Total energy supply,37143.905999999995,31.0,1151.4610859999998
2028,STEPS,Total energy supply,36906.372749999995,34.0,1254.8166734999998
2029,STEPS,Total energy supply,36668.839499999995,37.0,1356.7470614999997
2030,STEPS,Total energy supply,36431.30625,40.0,1457.25225
2031,STEPS,Total energy supply,36193.773,43.0,1556.332239
