year,scenario,sector,value,cumulative_emissions
2035,NZE,Buildings,1437.17,1437.17
2036,NZE,Buildings,1298.776,2735.946
2037,NZE,Buildings,1160.382,3896.3280000000004
2038,NZE,Buildings,1021.988,4918.316000000001
2039,NZE,Buildings,883.594,5801.91
2040,NZE,Buildings,745.2,6547.110000000001
2041,NZE,Buildings,675.643,7222.753000000001
2042,NZE,Buildings,606.086,7828.839
2043,NZE,Buildings,536.529,8365.368
2044,NZE,Buildings,466.97200000000004,8832.34
2045,NZE,Buildings,397.415,9229.755000000001
2046,NZE,Buildings,327.85800000000006,9557.613000000001
2047,NZE,Buildings,258.30100000000004,9815.914
2048,NZE,Buildings,188.74400000000003,10004.658000000001
2049,NZE,Buildings,119.18700000000003,10123.845000000001
2050,NZE,Buildings,49.63,10173.475
2035,STEPS,Buildings,2492.18,2492.18
2036,STEPS,Buildings,2460.172,4952.352
2037,STEPS,Buildings,2428.1639999999998,7380.516
2038,STEPS,Buildings,2396.156,9776.671999999999
2039,STEPS,Buildings,2364.1479999999997,12140.82
2040,STEPS,Buildings,2332.14,14472.96
2041,STEPS,Buildings,2315.672,16788.631999999998
2042,STEPS,Buildings,2299.2039999999997,19087.836
2043,STEPS,Buildings,2282.736,21370.572
2044,STEPS,Buildings,2266.268,23636.84
2045,STEPS,Buildings,2249.8,25886.64
2046,STEPS,Buildings,2233.332,28119.971999999998
2047,STEPS,Buildings,2216.864,30336.836
2048,STEPS,Buildings,2200.396,32537.232
2049,STEPS,Buildings,2183.928,34721.159999999996
2050,STEPS,Buildings,2167.46,36888.619999999995
2035,NZE,Industry,6300.81,6300.81
2036,NZE,Industry,5806.928,12107.738000000001
2037,NZE,Industry,5313.046,17420.784
2038,NZE,Industry,4819.164000000001,22239.948
2039,NZE,Industry,4325.282,26565.230000000003
2040,NZE,Industry,3831.4,30396.63
2041,NZE,Industry,3493.4990000000003,33890.129
2042,NZE,Industry,3155.598,37045.727
2043,NZE,Industry,2817.697,39863.424
2044,NZE,Industry,2479.7960000000003,42343.22
2045,NZE,Industry,2141.895,44485.115000000005
2046,NZE,Industry,1803.9940000000001,46289.109000000004
2047,NZE,Industry,1466.093,47755.202000000005
2048,NZE,Industry,1128.192,48883.394
2049,NZE,Industry,790.2909999999999,49673.685000000005
2050,NZE,Industry,452.39,50126.075000000004
2035,STEPS,Industry,9250.42,9250.42
