year,sector,gap_abs,gap_pct_of_baseline
2020,Total energy supply,0.0,0.0
2021,Total energy supply,0.0,0.0
2022,Total energy supply,0.0,0.0
2023,Total energy supply,0.0,0.0
2024,Total energy supply,1469.8050000000003,3.8825691142928593
2025,Total energy supply,2939.6100000000006,7.814168768166119
2026,Total energy supply,4409.415000000001,11.79573362735091
2027,Total energy supply,5879.2199999999975,15.828222266123543
2028,Total energy supply,7349.024999999998,19.912617936694954
2029,Total energy supply,8818.829999999994,24.04992936850373
2030,Total energy supply,10288.635000000002,28.24119159877777
2031,Total energy supply,11758.440000000002,32.48746683580074
2032,Total energy supply,13228.245000000003,36.789845356396036
2033,Total energy supply,14698.050000000003,41.14944643922087
2034,Total energy supply,16167.855,45.56741933554861
2035,Buildings,1055.0099999999998,42.332817051737834
2035,Industry,2949.6099999999997,31.886227868572448
2035,Other energy sector,1261.6499999999999,75.7256554307116
2035,Power sector inputs,8610.05,67.355366728676
2035,Total energy supply,17637.66,50.04494427930827
2035,Transport,3205.5700000000006,37.931924007644206
2036,Buildings,1161.396,47.207918795921586
2036,Industry,3441.768,37.21354880731295
2036,Other energy sector,1309.08,78.89236821741866
2036,Power sector inputs,8956.892000000002,72.37001277580039
2036,Total energy supply,19035.476000000002,54.78210018412773
2036,Transport,3553.8200000000006,42.302647084731
2037,Buildings,1267.7819999999997,52.21154749020247
2037,Industry,3933.9259999999995,42.54285619119426
2037,Other energy sector,1356.51,82.0849732053386
2037,Power sector inputs,9303.734,77.72524842882574
2037,Total energy supply,20433.292,59.65645984421166
2037,Transport,3902.0700000000006,46.725613487198586
2038,Buildings,1374.168,57.34885374741878
2038,Industry,4426.083999999999,47.87415113147856
2038,Other energy sector,1403.9399999999998,85.30378925417969
2038,Power sector inputs,9650.576000000001,83.45699220618752
2038,Total energy supply,21831.108,64.6740716645959
2038,Transport,4250.32,51.201765544890335
2039,Buildings,1480.5539999999996,62.62526711525673
2039,Industry,4918.241999999999,53.207434740257064
2039,Other energy sector,1451.3700000000001,88.54914048086216
2039,Power sector inputs,9997.418,89.60639725461135
2039,Total energy supply,23228.924,69.84134486445402
2039,Transport,4598.57,55.73206838754559
2040,Buildings,1586.9399999999998,68.04651521778281
2040,Industry,5410.4,58.542708130450784
2040,Other energy sector,1498.8,91.82135636831464
2040,Power sector inputs,10344.26,96.2208409996149
2040,Total energy supply,24626.74,75.16507678962651
2040,Transport,4946.82,60.3175106385573
2041,Buildings,1640.029,70.82302674990241
2041,Industry,5712.599,62.052337483263805
2041,Other energy sector,1517.466,93.27042637371822
2041,Power sector inputs,10182.547,96.78904249487493
2041,Total energy supply,25126.975000000002,77.43267007384725
2041,Transport,5161.716999999999,63.10150510597647
2042,Buildings,1693.1179999999997,73.63931169222043
2042,Industry,6014.797999999999,65.58929407192447
2042,Other energy sector,1536.132,94.72905255653963
2042,Power sector inputs,10020.834,97.38266511256091
2042,Total energy supply,25627.21,79.74449732626144
2042,Transport,5376.614,65.90002088556768
2043,Buildings,1746.2069999999999,76.49623083878294
2043,Industry,6316.996999999999,69.15389831339725
2043,Other energy sector,1554.798,96.19732975964867
2043,Power sector inputs,9859.121,98.00345388600942
2043,Total energy supply,26127.445,82.10186560404584
2043,Transport,5591.5109999999995,68.713171889136
2044,Buildings,1799.296,79.39467000372419
2044,Industry,6619.196,72.7464756535669
2044,Other energy sector,1573.464,97.67535408513935
2044,Power sector inputs,9697.408,98.6533173058533
2044,Total energy supply,26627.68,84.50613397245806
2044,Transport,5806.408,71.5410732230451
2045,Buildings,1852.3850000000002,82.33554093697218
2045,Industry,6921.394999999999,76.36735666628785
2045,Other energy sector,1592.1299999999999,99.16322291529774
2045,Power sector inputs,9535.695,99.3343469177606
2045,Total energy supply,27127.915,86.95871611759273
2045,Transport,6021.305,74.38384120391703
2046,Buildings,1905.4739999999997,85.31978228046702
2046,Industry,7223.593999999999,80.01687715478376
2046,Other energy sector,1610.7959999999998,100.66103493399024
2046,Power sector inputs,9373.982,100.04883980905512
2046,Total energy supply,27628.149999999998,89.46108311824645
2046,Transport,6236.201999999999,77.24159337458035
2047,Buildings,1958.563,88.34836056699915
2047,Industry,7525.793000000001,83.69537825546276
2047,Other energy sector,1629.4619999999998,102.16889014848223
2047,Power sector inputs,9212.269,100.79932449355344
2047,Total energy supply,28128.385,92.0147663883112
2047,Transport,6451.099,80.11444852027122
2048,Buildings,2011.652,91.42227126389977
2048,Industry,7827.992000000001,87.4032065442157
2048,Other energy sector,1648.128,103.68688991169684
2048,Power sector inputs,9050.556,101.58859080923305
2048,Total energy supply,28628.62,94.62136080206292
2048,Transport,6665.996,83.00252668509177
2049,Buildings,2064.741,94.54253986395156
2049,Industry,8130.191,91.14071414526703
2049,Other energy sector,1666.7939999999999,105.21513694492471
2049,Power sector inputs,8888.843,102.41972457375925
2049,Total energy supply,29128.855,97.28252801574749
2049,Transport,6880.893000000001,85.9059491887311
2050,Buildings,2117.83,97.71022302603046
2050,Industry,8432.390000000001,94.90825884265001
2050,Other energy sector,1685.46,106.75373536099517
2050,Power sector inputs,8727.13,103.29614790528663
2050,Total energy supply,29629.09,100.0
2050,Transport,7095.790000000001,88.82483864345336
