year,scenario,sector,value,emissions_index
2035,NZE,Buildings,1437.17,100.0
2036,NZE,Buildings,1298.776,90.37038067869494
2037,NZE,Buildings,1160.382,80.74076135738987
2038,NZE,Buildings,1021.988,71.1111420360848
2039,NZE,Buildings,883.594,61.48152271477974
2040,NZE,Buildings,745.2,51.85190339347467
2041,NZE,Buildings,675.643,47.01204450412964
2042,NZE,Buildings,606.086,42.17218561478461
2043,NZE,Buildings,536.529,37.33232672543958
2044,NZE,Buildings,466.97200000000004,32.49246783609455
2045,NZE,Buildings,397.415,27.652608946749513
2046,NZE,Buildings,327.85800000000006,22.812750057404486
2047,NZE,Buildings,258.30100000000004,17.97289116805945
2048,NZE,Buildings,188.74400000000003,13.133032278714419
2049,NZE,Buildings,119.18700000000003,8.293173389369388
2050,NZE,Buildings,49.63,3.4533145000243537
2035,STEPS,Buildings,2492.18,100.0
2036,STEPS,Buildings,2460.172,98.71566259258962
2037,STEPS,Buildings,2428.1639999999998,97.43132518517925
2038,STEPS,Buildings,2396.156,96.14698777776887
2039,STEPS,Buildings,2364.1479999999997,94.86265037035847
2040,STEPS,Buildings,2332.14,93.5783129629481
2041,STEPS,Buildings,2315.672,92.91752602139492
2042,STEPS,Buildings,2299.2039999999997,92.25673907984174
2043,STEPS,Buildings,2282.736,91.59595213828857
2044,STEPS,Buildings,2266.268,90.9351651967354
2045,STEPS,Buildings,2249.8,90.27437825518221
2046,STEPS,Buildings,2233.332,89.61359131362904
2047,STEPS,Buildings,2216.864,88.95280437207586
2048,STEPS,Buildings,2200.396,88.29201743052269
2049,STEPS,Buildings,2183.928,87.6312304889695
2050,STEPS,Buildings,2167.46,86.97044354741632
2035,NZE,Industry,6300.81,100.0
2036,NZE,Industry,5806.928,92.16161096747878
2037,NZE,Industry,5313.046,84.32322193495757
2038,NZE,Industry,4819.164000000001,76.48483290243637
2039,NZE,Industry,4325.282,68.64644386991515
2040,NZE,Industry,3831.4,60.80805483739392
2041,NZE,Industry,3493.4990000000003,55.44523640611286
2042,NZE,Industry,3155.598,50.082417974831806
2043,NZE,Industry,2817.697,44.71959954355075
2044,NZE,Industry,2479.7960000000003,39.356781112269694
2045,NZE,Industry,2141.895,33.99396268098863
2046,NZE,Industry,1803.9940000000001,28.631144249707578
2047,NZE,Industry,1466.093,23.26832581842652
2048,NZE,Industry,1128.192,17.905507387145462
2049,NZE,Industry,790.2909999999999,12.542688955864403
2050,NZE,Industry,452.39,7.179870524583347
2035,STEPS,Industry,9250.42,100.0
2036,STEPS,Industry,9248.696,99.98136300838232
2037,STEPS,Industry,9246.972,99.96272601676463
2038,STEPS,Industry,9245.248,99.94408902514697
2039,STEPS,Industry,9243.524,99.92545203352928
2040,STEPS,Industry,9241.8,99.9068150419116
2041,STEPS,Industry,9206.098,99.52086499856223
2042,STEPS,Industry,9170.395999999999,99.13491495521282
2043,STEPS,Industry,9134.694,98.74896491186345
2044,STEPS,Industry,9098.992,98.36301486851407
2045,STEPS,Industry,9063.289999999999,97.97706482516469
2046,STEPS,Industry,9027.588,97.5911147818153
2047,STEPS,Industry,8991.886,97.20516473846594
2048,STEPS,Industry,8956.184000000001,96.81921469511656
2049,STEPS,Industry,8920.482,96.43326465176716
2050,STEPS,Industry,8884.78,96.04731460841779
2035,NZE,Other energy sector,404.43,100.0
2036,NZE,Other energy sector,350.244,86.60188413322454
2037,NZE,Other energy sector,296.058,73.20376826644907
2038,NZE,Other energy sector,241.872,59.80565239967361
2039,NZE,Other energy sector,187.686,46.40753653289815
2040,NZE,Other energy sector,133.5,33.00942066612269
2041,NZE,Other energy sector,109.487,27.071928393047003
2042,NZE,Other energy sector,85.474,21.134436119971316
2043,NZE,Other energy sector,61.461000000000006,15.196943846895634
2044,NZE,Other energy sector,37.44800000000001,9.259451573819947
2045,NZE,Other energy sector,13.43500000000001,3.3219593007442594
2046,NZE,Other energy sector,-10.577999999999989,-2.615532972331427
2047,NZE,Other energy sector,-34.59099999999999,-8.553025245407113
2048,NZE,Other energy sector,-58.603999999999985,-14.490517518482799
2049,NZE,Other energy sector,-82.61699999999999,-20.428009791558488
2050,NZE,Other energy sector,-106.63,-26.36550206463418
2035,STEPS,Other energy sector,1666.08,100.0
2036,STEPS,Other energy sector,1659.3239999999998,99.59449726303659
2037,STEPS,Other energy sector,1652.568,99.18899452607319
2038,STEPS,Other energy sector,1645.812,98.78349178910977
2039,STEPS,Other energy sector,1639.056,98.37798905214636
2040,STEPS,Other energy sector,1632.3,97.97248631518295
2041,STEPS,Other energy sector,1626.953,97.65155334677806
2042,STEPS,Other energy sector,1621.606,97.33062037837318
2043,STEPS,Other energy sector,1616.259,97.00968740996831
2044,STEPS,Other energy sector,1610.912,96.68875444156345
2045,STEPS,Other energy sector,1605.5649999999998,96.36782147315854
2046,STEPS,Other energy sector,1600.2179999999998,96.04688850475367
2047,STEPS,Other energy sector,1594.8709999999999,95.72595553634879
2048,STEPS,Other energy sector,1589.524,95.4050225679439
2049,STEPS,Other energy sector,1584.177,95.08408959953904
