year,scenario,sector,value
2035,NZE,Buildings,1437.17
2036,NZE,Buildings,1298.776
2037,NZE,Buildings,1160.382
2038,NZE,Buildings,1021.988
2039,NZE,Buildings,883.594
2040,NZE,Buildings,745.2
2041,NZE,Buildings,675.643
2042,NZE,Buildings,606.086
2043,NZE,Buildings,536.529
2044,NZE,Buildings,466.97200000000004
2045,NZE,Buildings,397.415
2046,NZE,Buildings,327.85800000000006
2047,NZE,Buildings,258.30100000000004
2048,NZE,Buildings,188.74400000000003
2049,NZE,Buildings,119.18700000000003
2050,NZE,Buildings,49.63
2035,STEPS,Buildings,2492.18
2036,STEPS,Buildings,2460.172
2037,STEPS,Buildings,2428.1639999999998
2038,STEPS,Buildings,2396.156
2039,STEPS,Buildings,2364.1479999999997
2040,STEPS,Buildings,2332.14
2041,STEPS,Buildings,2315.672
2042,STEPS,Buildings,2299.2039999999997
2043,STEPS,Buildings,2282.736
2044,STEPS,Buildings,2266.268
2045,STEPS,Buildings,2249.8
2046,STEPS,Buildings,2233.332
2047,STEPS,Buildings,2216.864
2048,STEPS,Buildings,2200.396
2049,STEPS,Buildings,2183.928
2050,STEPS,Buildings,2167.46
2035,NZE,Industry,6300.81
2036,NZE,Industry,5806.928
2037,NZE,Industry,5313.046
2038,NZE,Industry,4819.164000000001
2039,NZE,Industry,4325.282
2040,NZE,Industry,3831.4
2041,NZE,Industry,3493.4990000000003
2042,NZE,Industry,3155.598
2043,NZE,Industry,2817.697
2044,NZE,Industry,2479.7960000000003
2045,NZE,Industry,2141.895
2046,NZE,Industry,1803.9940000000001
2047,NZE,Industry,1466.093
2048,NZE,Industry,1128.192
2049,NZE,Industry,790.2909999999999
2050,NZE,Industry,452.39
2035,STEPS,Industry,9250.42
2036,STEPS,Industry,9248.696
2037,STEPS,Industry,9246.972
2038,STEPS,Industry,9245.248
2039,STEPS,Industry,9243.524
2040,STEPS,Industry,9241.8
2041,STEPS,Industry,9206.098
2042,STEPS,Industry,9170.395999999999
2043,STEPS,Industry,9134.694
2044,STEPS,Industry,9098.992
2045,STEPS,Industry,9063.289999999999
2046,STEPS,Industry,9027.588
2047,STEPS,Industry,8991.886
2048,STEPS,Industry,8956.184000000001
2049,STEPS,Industry,8920.482
2050,STEPS,Industry,8884.78
2035,NZE,Other energy sector,404.43
2036,NZE,Other energy sector,350.244
2037,NZE,Other energy sector,296.058
2038,NZE,Other energy sector,241.872
2039,NZE,Other energy sector,187.686
2040,NZE,Other energy sector,133.5
2041,NZE,Other energy sector,109.487
2042,NZE,Other energy sector,85.474
2043,NZE,Other energy sector,61.461000000000006
2044,NZE,Other energy sector,37.44800000000001
2045,NZE,Other energy sector,13.43500000000001
2046,NZE,Other energy sector,-10.577999999999989
2047,NZE,Other energy sector,-34.59099999999999
2048,NZE,Other energy sector,-58.603999999999985
2049,NZE,Other energy sector,-82.61699999999999
2050,NZE,Other energy sector,-106.63
2035,STEPS,Other energy sector,1666.08
2036,STEPS,Other energy sector,1659.3239999999998
2037,STEPS,Other energy sector,1652.568
2038,STEPS,Other energy sector,1645.812
2039,STEPS,Other energy sector,1639.056
2040,STEPS,Other energy sector,1632.3
2041,STEPS,Other energy sector,1626.953
2042,STEPS,Other energy sector,1621.606
2043,STEPS,Other energy sector,1616.259
2044,STEPS,Other energy sector,1610.912
2045,STEPS,Other energy sector,1605.5649999999998
2046,STEPS,Other energy sector,1600.2179999999998
2047,STEPS,Other energy sector,1594.8709999999999
2048,STEPS,Other energy sector,1589.524
